0,14602100
1,14602140
2,14602180
3,14602220
4,14602260
5,14602300
6,14602340
7,14602380
8,14602420
9,14602460
10,14602500
11,14602540
12,14602580
13,14602620
14,14602660
15,14602700
16,14602740
17,14602780
18,14602820
19,14602860
20,14602900
21,14602940
22,14602980
23,14603020
24,14603060
25,14603100
26,14603140
27,14603180
28,14603220
29,14603260
30,14603300
31,14603340
32,14603380
33,14603420
34,14603460
35,14603500
36,14603540
37,14603580
38,14603619
39,14603659
40,14603699
41,14603740
42,14603779
43,14603819
44,14603859
45,14603899
46,14603939
47,14603979
48,14604019
49,14604059
50,14604099
51,14604139
52,14604179
53,14604219
54,14604259
55,14604299
56,14604339
57,14604379
58,14604419
59,14604459
60,14604499
61,14604539
62,14604579
63,14604619
64,14604659
65,14604699
66,14604739
67,14604779
68,14604819
69,14604859
70,14604899
71,14604939
72,14604979
73,14605019
74,14605059
75,14605099
76,14605139
77,14605179
78,14605219
79,14605259
80,14605299
81,14605339
82,14605379
83,14605419
84,14605459
85,14605499
86,14605539
87,14605579
88,14605619
89,14605659
90,14605699
91,14605739
92,14605779
93,14605820
94,14605859
95,14605899
96,14605939
97,14605979
98,14606019
99,14606059
100,14606099
101,14606139
102,14606179
103,14606219
104,14606259
105,14606299
106,14606339
107,14606379
108,14606419
109,14606459
110,14606499
111,14606539
112,14606579
113,14606619
114,14606659
115,14606699
116,14606739
117,14606779
118,14606819
119,14606859
120,14606899
121,14606939
122,14606979
123,14607019
124,14607059
125,14607099
126,14607139
127,14607179
128,14607219
129,14607259
130,14607299
131,14607339
132,14607379
133,14607419
134,14607459
135,14607499
136,14607539
137,14607579
138,14607619
139,14607659
140,14607699
141,14607739
142,14607779
143,14607819
144,14607859
145,14607899
146,14607939
147,14607979
148,14608019
149,14608059
150,14608099
151,14608139
152,14608179
153,14608219
154,14608259
155,14608299
156,14608339
157,14608379
158,14608419
159,14608459
160,14608499
161,14608539
162,14608579
163,14608619
164,14608659
165,14608699
166,14608739
167,14608779
168,14608819
169,14608859
170,14608899
171,14608939
172,14608979
173,14609019
174,14609059
175,14609099
176,14609139
177,14609179
178,14609219
179,14609259
180,14609299
181,14609339
182,14609379
183,14609419
184,14609459
185,14609499
186,14609539
187,14609579
188,14609619
189,14609659
190,14609699
191,14609739
192,14609779
193,14609819
194,14609859
195,14609899
196,14609939
197,14609979
198,14610019
199,14610059
200,14610099
201,14610139
202,14610179
203,14610219
204,14610259
205,14610299
206,14610339
207,14610379
208,14610419
209,14610459
210,14610499
211,14610539
212,14610579
213,14610619
214,14610659
215,14610699
216,14610739
217,14610779
218,14610819
219,14610859
220,14610899
221,14610939
222,14610979
223,14611019
224,14611059
225,14611099
226,14611139
227,14611179
228,14611219
229,14611259
230,14611299
231,14611339
232,14611379
233,14611419
234,14611459
235,14611499
236,14611539
237,14611579
238,14611619
239,14611659
240,14611699
241,14611739
242,14611779
243,14611819
244,14611859
245,14611899
246,14611939
247,14611979
248,14612019
249,14612059
250,14612099
251,14612139
252,14612179
253,14612219
254,14612259
255,14612299
256,14612339
257,14612379
258,14612419
259,14612459
260,14612499
261,14612539
262,14612579
263,14612619
264,14612659
265,14612699
266,14612739
267,14612779
268,14612819
269,14612859
270,14612899
271,14612939
272,14612979
273,14613019
274,14613059
275,14613099
276,14613139
277,14613179
278,14613219
279,14613259
280,14613299
281,14613339
282,14613379
283,14613419
284,14613459
285,14613499
286,14613539
287,14613579
288,14613619
289,14613659
290,14613699
291,14613739
292,14613779
293,14613819
294,14613859
295,14613898
296,14613938
297,14613978
298,14614018
299,14614058
300,14614098
301,14614138
302,14614178
303,14614218
304,14614258
305,14614298
306,14614338
307,14614378
308,14614418
309,14614458
310,14614498
311,14614538
312,14614578
313,14614618
314,14614658
315,14614698
316,14614738
317,14614778
318,14614818
319,14614858
320,14614898
321,14614938
322,14614978
323,14615018
324,14615058
325,14615098
326,14615138
327,14615178
328,14615218
329,14615258
330,14615298
331,14615338
332,14615378
333,14615418
334,14615458
335,14615498
336,14615538
337,14615578
338,14615618
339,14615658
340,14615698
341,14615738
342,14615778
343,14615818
344,14615858
345,14615898
346,14615938
347,14615978
348,14616018
349,14616058
350,14616098
351,14616138
352,14616178
353,14616218
354,14616258
355,14616298
356,14616338
357,14616378
358,14616418
359,14616458
360,14616498
361,14616538
362,14616578
363,14616618
364,14616658
365,14616698
366,14616738
367,14616778
368,14616818
369,14616858
370,14616898
371,14616938
372,14616978
373,14617018
374,14617058
375,14617098
376,14617138
377,14617178
378,14617218
379,14617258
380,14617298
381,14617338
382,14617378
383,14617418
384,14617458
385,14617498
386,14617538
387,14617578
388,14617618
389,14617658
390,14617698
391,14617738
392,14617778
393,14617818
394,14617858
395,14617898
396,14617938
397,14617978
398,14618018
399,14618058
400,14618098
401,14618139
402,14618179
403,14618218
404,14618258
405,14618298
406,14618338
407,14618378
408,14618418
409,14618458
410,14618498
411,14618538
412,14618578
413,14618618
414,14618658
415,14618698
416,14618738
417,14618778
418,14618818
419,14618858
420,14618898
421,14618938
422,14618978
423,14619018
424,14619058
425,14619098
426,14619138
427,14619178
428,14619218
429,14619258
430,14619298
431,14619338
432,14619378
433,14619418
434,14619458
435,14619498
436,14619538
437,14619578
438,14619618
439,14619658
440,14619698
441,14619738
442,14619778
443,14619818
444,14619858
445,14619898
446,14619938
447,14619978
448,14620018
449,14620058
450,14620098
451,14620138
452,14620178
453,14620218
454,14620258
455,14620298
456,14620338
457,14620378
458,14620418
459,14620458
460,14620498
461,14620538
462,14620578
463,14620618
464,14620658
465,14620698
